"Step","silvery-pyramid-33 - fid","silvery-pyramid-33 - fid__MIN","silvery-pyramid-33 - fid__MAX"
"2","317.2507019042969","317.2507019042969","317.2507019042969"
"6","243.28814697265625","243.28814697265625","243.28814697265625"
"10","240.98556518554688","240.98556518554688","240.98556518554688"
"14","181.3909454345703","181.3909454345703","181.3909454345703"
"18","166.1098175048828","166.1098175048828","166.1098175048828"
"22","197.16033935546875","197.16033935546875","197.16033935546875"
"26","147.36294555664062","147.36294555664062","147.36294555664062"
"30","137.68881225585938","137.68881225585938","137.68881225585938"
"34","120.498046875","120.498046875","120.498046875"
"38","134.37049865722656","134.37049865722656","134.37049865722656"
"42","120.71543884277344","120.71543884277344","120.71543884277344"
"46","124.8940200805664","124.8940200805664","124.8940200805664"
"50","114.29216003417969","114.29216003417969","114.29216003417969"
"54","117.56182861328125","117.56182861328125","117.56182861328125"
"58","138.0497589111328","138.0497589111328","138.0497589111328"
"62","123.07565307617188","123.07565307617188","123.07565307617188"
"66","110.90030670166016","110.90030670166016","110.90030670166016"
"70","123.24034118652344","123.24034118652344","123.24034118652344"
"74","114.82499694824219","114.82499694824219","114.82499694824219"
"78","108.38461303710938","108.38461303710938","108.38461303710938"
"82","178.47811889648438","178.47811889648438","178.47811889648438"
"86","111.06912231445312","111.06912231445312","111.06912231445312"
"90","127.99837493896484","127.99837493896484","127.99837493896484"
"94","129.48504638671875","129.48504638671875","129.48504638671875"
"98","109.529296875","109.529296875","109.529296875"
"102","107.98910522460938","107.98910522460938","107.98910522460938"
"106","114.61489868164062","114.61489868164062","114.61489868164062"
"110","114.57807922363281","114.57807922363281","114.57807922363281"
"114","104.81842041015625","104.81842041015625","104.81842041015625"
"118","112.08259582519531","112.08259582519531","112.08259582519531"
"122","113.28968048095703","113.28968048095703","113.28968048095703"
"126","98.36048889160156","98.36048889160156","98.36048889160156"
"130","93.37451171875","93.37451171875","93.37451171875"
"134","92.71501159667969","92.71501159667969","92.71501159667969"
"138","86.53590393066406","86.53590393066406","86.53590393066406"
"142","87.88037872314453","87.88037872314453","87.88037872314453"
"146","108.75173950195312","108.75173950195312","108.75173950195312"
"150","90.32978820800781","90.32978820800781","90.32978820800781"
"154","94.17796325683594","94.17796325683594","94.17796325683594"
"158","96.88261413574219","96.88261413574219","96.88261413574219"
"162","84.52545928955078","84.52545928955078","84.52545928955078"
"166","80.9834213256836","80.9834213256836","80.9834213256836"
"170","91.16173553466797","91.16173553466797","91.16173553466797"
"174","94.47879791259766","94.47879791259766","94.47879791259766"
"178","79.85298156738281","79.85298156738281","79.85298156738281"
"182","104.40492248535156","104.40492248535156","104.40492248535156"
"186","105.10147094726562","105.10147094726562","105.10147094726562"
"190","116.44235229492188","116.44235229492188","116.44235229492188"
"194","90.342041015625","90.342041015625","90.342041015625"
"198","87.9202880859375","87.9202880859375","87.9202880859375"
